kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Satureja,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc
5.397,414,17,36,0,4,1,0,0,0,0,0,3,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,3,8,0,10,1,0,2,1,0,0,0,0,75,30,0,0,0,0,0,10,0,0,0,0,0,2,0,0,4,0,1,2,1,0,1,2,0,1,1,0,0,1,0,2,1,1,1,3,4,6,0,1573,2,345,31272
5.471,419,18,41,0,5,3,0,0,0,0,0,4,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,5,4,0,1,0,0,0,0,6,4,0,10,6,0,1,13,0,0,0,0,169,19,0,0,0,0,0,14,0,0,0,0,0,2,0,1,5,1,1,2,0,1,0,0,0,1,1,2,1,1,0,3,0,0,0,2,0,6,0,1360,1,347,31272
5.538,424,11,28,0,0,3,0,0,0,0,0,4,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,4,0,2,0,0,0,0,5,5,0,11,7,0,1,6,0,0,0,0,138,6,0,0,0,0,0,13,0,0,0,0,0,2,0,0,2,1,0,2,0,0,2,4,1,1,0,2,1,1,0,2,0,0,1,3,1,9,1,245,5,214,31272
5.61,429,12,53,0,0,1,0,0,0,0,0,5,97,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,4,2,0,0,0,0,2,7,7,0,4,7,0,1,5,0,0,0,0,133,17,0,0,0,0,0,8,0,0,0,0,0,2,0,1,4,0,1,0,0,1,0,1,1,0,1,0,1,1,0,3,0,0,0,5,2,9,1,120,4,187,31272
5.709,436,15,48,0,0,4,0,0,0,0,1,0,75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,15,1,0,0,0,0,0,2,0,6,0,1,5,2,1,14,0,0,0,0,159,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,1,2,0,1,2,5,1,1,0,3,0,0,1,1,0,1,0,4,1,10,0,345,4,117,31272
5.807,443,15,36,0,0,2,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,33,1,1,2,1,0,0,5,2,9,0,3,9,1,2,10,0,0,0,0,122,32,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,3,0,1,0,1,0,0,1,4,0,0,1,4,5,6,0,1265,5,186,31272
5.88,448,12,21,0,0,0,0,0,1,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,31,0,2,2,0,0,0,5,9,10,0,4,8,1,2,9,0,0,0,0,192,19,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,1,1,2,1,0,0,1,1,1,1,5,1,1,0,4,0,5,0,1440,1,104,31272
5.948,453,13,57,0,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30,3,2,1,0,0,0,2,6,4,0,0,5,1,2,5,0,0,0,0,186,29,0,0,0,0,0,7,1,0,0,0,0,1,0,1,2,1,1,0,0,1,2,1,0,0,0,3,0,1,1,3,0,1,1,1,4,5,1,1712,2,117,31272
6.038,460,15,64,0,0,4,0,0,0,0,2,2,29,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,39,0,2,1,0,0,0,3,9,7,0,5,1,2,0,14,0,0,0,0,121,9,0,0,0,0,0,6,0,0,0,0,0,1,0,1,5,0,1,0,1,0,1,5,0,0,1,1,1,0,1,2,1,1,1,4,4,33,0,1827,2,120,31272
6.106,465,16,48,0,0,3,0,0,0,0,0,5,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,26,0,2,2,0,0,0,1,5,2,0,1,7,1,0,4,0,0,0,1,170,5,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,1,1,1,0,0,2,4,1,1,1,4,1,0,0,0,2,1,0,2,3,32,1,1255,0,367,31272
